3788,-237,-19,-37,18,-21,-2,-19,2,6,6,-5,5,-7,7,3,3,-1,0,0,1,-5,2,0,-2,-1,-3,-1,0,0,0,0,0,0,-1,2,0,4,-1,0,1,0,-1,0,0,3,0,0,0,-1,-2,1,0,0,-2,3,1,-1,0,0,-2,1,2,3,0,1,-1,0,2,0,0,-1,1,-2,0,0,-2,-2,2,0,0,0,0,0,3,0,1,-4,3,0,0,-2,1,0,1,-2,0,0,1,0,1,-4,-1,1,-2,0,1,2,0,-1,0,0,0,1,1,0,2,1,-2,0,0,2,0,0,0,-1,0,1,-2,0,-2,0,0,0,0,0,0,0,0,0,0,2
95,-80,18,-53,10,4,23,-14,-3,-14,5,-10,3,6,4,-1,5,2,0,-1,6,0,1,0,0,2,-3,-3,-1,-1,0,-1,-2,-2,-3,0,0,-2,-2,5,0,-1,0,-1,0,0,0,-3,0,0,0,0,0,1,0,-1,-3,2,1,-1,0,-1,7,0,-2,3,0,0,1,1,-3,1,0,-1,1,-1,-1,0,0,0,1,1,-1,0,2,-2,1,2,0,-1,1,1,4,0,0,0,0,0,1,-6,-2,0,2,2,0,-1,1,2,1,0,0,-1,0,0,0,-1,-1,0,-2,0,0,-2,-1,-1,0,2,-2,0,2,-1,0,1,0,0,0,0,0,-1,-1,0,0,0
57,-63,42,-39,5,-3,-2,-18,13,-3,0,3,-4,8,2,1,-5,3,0,0,2,-5,4,2,0,-3,1,0,1,0,0,0,-2,1,3,0,0,2,-2,5,0,0,0,-2,0,1,-2,-1,-2,-1,0,0,-2,-1,1,3,0,2,-1,0,-1,1,1,0,-2,2,5,1,0,0,0,-1,1,1,-1,1,2,2,0,0,1,-1,0,2,2,-3,-3,-2,1,2,1,-2,0,-1,0,-2,-2,2,1,0,0,2,1,1,-2,0,0,-3,-1,0,-1,0,0,-4,0,-2,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,-1,-1,0,0,0,1,-1,0,0,0
-19,-17,21,-29,-13,-1,-7,-14,1,-7,-9,0,7,5,0,-4,1,0,0,-1,0,2,-2,-7,-1,1,-2,-5,-2,-1,2,0,1,0,0,-1,-1,-1,0,0,1,1,2,1,0,-2,2,0,4,-1,1,1,0,1,3,0,0,3,1,-1,-1,0,0,-2,0,2,2,2,0,-1,1,0,0,-3,-3,0,0,2,-1,1,-2,1,0,-2,-1,1,-5,-2,2,1,0,0,0,0,0,0,-2,-3,0,1,-1,0,1,0,0,0,0,0,0,1,0,-1,0,0,4,0,1,0,2,0,-2,2,0,2,-2,1,0,2,1,2,0,0,0,0,0,-1,1,0,0,1,0,0
-83,-21,-2,-12,-10,25,16,6,0,-5,0,-6,0,-2,1,-6,0,-4,-2,3,1,0,0,-1,1,-1,-1,0,1,-2,0,2,-4,-1,-1,0,2,0,-4,0,1,0,-1,0,-1,2,1,-1,3,2,-1,2,0,-2,3,0,-2,-2,0,-3,0,0,0,0,0,0,-4,0,1,1,0,-1,-1,3,0,-4,0,-1,1,3,1,1,1,2,0,-1,0,0,-2,-2,-3,0,0,0,2,1,1,-1,0,0,0,0,2,-1,0,0,-1,-1,1,0,0,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,1,0,1,0,-1,2,-1,-1,1,-2,-2,-1,0,0,-1,-1,1,0
-13,26,-8,10,12,-13,-3,-11,1,-6,8,3,4,-5,0,-1,-3,-2,5,0,0,-3,0,0,-1,-2,-1,3,1,0,0,0,1,0,4,0,-1,4,0,2,1,-3,-3,0,0,1,1,-1,-2,1,2,0,0,1,0,-1,-1,-3,-1,-2,2,0,1,0,0,-1,0,0,0,0,2,-3,0,0,0,0,1,-2,2,0,0,0,0,-1,0,0,0,0,2,0,-1,0,0,-2,0,-2,0,0,0,2,1,1,1,0,-1,0,0,-1,2,-2,3,0,0,0,0,2,0,-1,1,0,-2,0,0,-1,0,0,-1,2,-1,1,0,0,0,0,0,0,0,0,0,0,1,0
-8,15,-27,2,24,-1,11,3,0,-7,4,-5,1,-10,7,0,-1,0,4,-1,0,2,-2,-3,-2,5,0,0,0,1,0,-1,0,-1,-3,-3,0,-3,-2,1,2,0,1,2,-2,0,-1,0,0,4,-2,-4,5,3,-1,0,2,0,3,3,0,1,0,-2,0,-1,-1,-1,2,-1,1,-3,0,-1,-1,0,-1,-2,0,0,0,1,-1,0,-1,-3,-1,-2,0,-1,0,1,2,3,0,0,2,-1,-1,1,0,-2,0,0,0,1,0,0,2,1,-1,0,0,-2,-2,0,0,0,2,1,2,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0
63,-1,-25,4,-2,-13,2,5,0,5,-1,-3,3,1,0,-1,-3,-7,4,0,-8,-1,-3,3,-1,0,0,2,3,-1,0,-3,2,-1,-1,-1,5,-3,0,0,-3,0,3,-1,-1,1,-1,0,3,2,0,3,0,2,0,-1,4,0,-3,-2,0,2,1,2,1,2,2,-1,0,2,0,-5,-2,-1,-1,0,-1,0,1,-1,-1,-2,2,1,-4,0,0,-3,0,0,0,3,0,1,2,2,1,3,-1,2,-1,0,0,1,1,-2,1,-1,0,0,1,-1,0,2,0,0,0,0,-1,0,0,2,0,0,0,1,0,1,1,0,-1,0,0,0,1,1,1,1,0,1,1,1
-11,8,-17,-2,-1,-1,0,10,0,4,-8,2,-4,0,1,-3,-1,-1,-1,1,-3,-3,-1,1,1,-2,3,0,1,-1,-1,2,-1,2,-3,2,-2,-3,0,-1,1,0,-1,1,0,-5,-2,-1,2,1,0,1,1,0,3,-3,0,-4,-1,0,0,2,0,3,0,-1,2,3,-1,1,-3,1,0,3,0,3,0,0,0,-4,-3,0,1,-2,-1,2,-1,3,-1,0,0,2,-2,2,1,0,0,0,1,-1,-3,0,1,-2,0,4,0,0,0,1,0,1,-1,1,-2,-1,-1,1,-2,0,-1,1,2,-1,1,-2,0,-2,0,1,0,0,1,0,-1,1,1,0,1,0,-1,0
-23,-2,-2,6,-6,-4,-3,11,4,4,-2,8,-1,-1,-6,-2,4,-1,-2,1,0,0,0,2,0,3,1,1,0,1,0,-3,-1,0,1,0,-4,1,1,1,0,0,2,2,-4,2,1,-4,1,3,0,-1,-2,1,-7,2,1,-5,-2,0,0,-3,0,1,3,0,-3,2,1,1,1,0,0,2,0,4,-1,0,2,0,1,-3,-4,0,0,1,-2,2,-1,0,0,0,-2,0,-2,0,0,5,-2,4,0,0,0,1,0,-1,0,0,2,0,0,0,2,2,0,-1,1,3,-1,1,0,0,0,0,0,2,1,-1,0,1,-1,-2,-1,0,1,1,-2,0,1,0,-1,1
