dimensione,dct2,lib_dct2
342,1568033000,2001100
343,1645962700,3003600
344,1638000600,3001200
345,1630995400,2001100
346,1648999900,7004200
347,1635998600,7033800
348,1741962800,3000400
349,1694999400,6999600
350,1691999700,2000200
351,1726998600,2000600
352,1707039900,2994100
353,1731964800,7002700
354,1721998600,3000600
355,1744998600,4036900
356,1746006200,3962300
357,1760998600,3000100
358,1790999100,7999800
359,1798033800,6965900
360,1799958600,2028700
361,1766963600,3001000
362,1882034800,8001900
363,1823987600,3001900
364,1849962200,2002200
365,1888001400,2999200
366,1846036100,3000000
367,1886965700,9000300
368,1899999800,2000900
369,1891034200,2965600
370,1889965800,2999000
371,2047995900,3000000
372,2086001400,3036900
373,2078966700,8999300
374,2088998900,4004000
375,1939994300,2002500
376,1970032600,3003900
377,1968962500,2036900
378,1987000400,2998900
379,1967999200,5996700
380,2013000400,2030800
381,2039963300,5999800
382,2143999800,10000200
383,2084907900,8002200
384,2074997500,3000600
385,2106996300,3000400
386,2082002700,9999900
387,2084996600,2998800
388,2090002700,5005400
389,2076993500,8000300
390,2126997500,3000300
391,2217037900,3965800
392,2138998200,2001900
393,2150005000,6993900
394,2173999700,10000300
395,2176833900,5001900
396,2245115600,2001000
397,2230007400,6999800
398,2255015100,10000100
399,2335045500,3005100
400,2234978600,2003500
401,2245049500,8994500
402,2253964500,3999600
403,2284002500,2999300
404,2278062000,5038500
405,2302001100,1964600
406,2291006300,2993200
407,2317984200,3000500
408,2359997100,3000200
409,2350000300,9002400
410,2346964800,3000100
411,2387996700,6998600
412,2557000100,6000400
413,2423002700,3999800
414,2439998300,3000300
415,2441000200,6002500
416,2463001200,3022700
417,2509038800,7000300
418,2483966200,3999700
419,2504999000,9000200
420,2518999800,2999800
421,2523998900,12000200
422,2493034400,12964300
423,2559964500,4000300
424,2541034100,4021400
425,2544041500,2953400
426,2536960000,4999900
427,2603998700,6001000
428,2682035800,5998200
429,2607961200,3998000
430,2601999000,3999800
431,2622000000,8998500
432,2680995800,2000400
433,2679002700,9999600
434,2687999400,3000000
435,2678999300,4001000
436,2773023800,6975300
437,2735998100,2999600
438,2773998800,5000000
439,2811997700,9999800
440,2806999500,4006000
441,2747031900,3004000
442,2779969000,4997200
443,2805995900,11000000
444,2792037500,10967100
445,2844000000,22999700
446,2906035300,13963100
447,2833964800,9001000
448,2968999700,3000000
449,3006992300,10998900
450,2893999600,3000400
451,2916002500,4996000
452,2965999700,6998900
453,2919002800,8995600
454,2978855700,15996100
455,2967048500,3999700
456,2954000500,4035800
457,3049035400,13021800
458,3085993100,14999900
459,2958002300,3001600
460,3037998000,3001100
461,3091002800,10997500
462,3053005900,3994000
463,3042999400,11999700
464,3102001800,4046700
465,3065012800,3987300
466,3084998700,15999600
467,3131999200,11999500
468,3129999100,3000500
469,3123999800,5999500
470,3181996100,3999800
471,3218999800,10999700
472,3215003800,4998800
473,3194998300,5032700
474,3395001300,6003200
475,3205000000,3964600
476,3295035000,3998000
477,3241951400,5001000
478,3275999200,11001000
479,3327035200,11016600
480,3323999700,3000500
481,3297999300,5000000
482,3335034000,17997300
483,3358968200,5002700
484,3428997200,5001400
485,3445036300,6997700
486,3440034500,3965100
487,3406962800,26002300
488,3401000100,4998700
489,3435999900,12032600
490,3395005200,3996300
491,3477959400,13999500
492,3464790100,4999300
493,3498011200,5001400
494,3519031900,4016400
495,3529923000,3999800
496,3571088600,5003200
497,3542044800,7004700
