3720,514,-2358,-433,-1518,-545,934,327,1070,523,-474,-263,-696,-361,190,151,382,158,-16,-13,-149,-3,-36,-75,-48,-100,68,104,124,151,-23,-89,-170,-136,5,15,139,125,4,11,-61,-59,-28,-31,17,-16,0,32,34,81,22,-22,-57,-110,-39,-3,45,111,51,16,-26,-67,-42,-29,5,9,8,39,11,30,43,-27,-40,-42,-57,-21,28,63,76,55,-23,-80,-55,-33,-1,34,29,23,8,7,22,-4,-28,-39,-43,-16,8,44,75,46
24,179,47,-244,-104,-36,-17,158,90,-25,34,-38,-125,-10,35,6,55,12,-18,23,-31,-35,12,19,9,-38,-5,37,12,17,-25,-29,6,-9,27,1,-31,30,12,-8,-5,-14,7,-10,2,18,-10,8,-1,-8,12,-12,-4,8,1,3,-7,-3,-1,15,12,-22,1,-2,-14,16,3,1,5,-6,-10,-16,32,24,-43,-12,17,4,1,6,8,-18,-6,7,-4,13,-11,-7,21,-7,3,0,-13,10,-3,1,-2,-9,19,0
-1346,-751,-81,754,2108,562,-421,-431,-1384,-591,270,306,873,438,-111,-162,-452,-229,-2,30,133,22,49,70,79,123,-38,-111,-192,-192,4,84,213,213,28,-50,-166,-155,-46,-2,92,71,24,33,3,24,-4,-46,-54,-91,-43,25,84,130,77,4,-84,-130,-80,-23,56,86,54,28,-13,-15,-12,-26,-20,-47,-38,7,37,86,83,21,-44,-97,-94,-42,27,75,80,51,-7,-40,-37,-29,-13,-12,-10,1,15,51,59,33,-2,-64,-101,-70
102,-158,-138,53,32,401,132,-358,-86,-69,-138,148,178,35,12,-29,-113,-32,23,-33,57,42,-35,11,-5,37,20,-63,-24,-33,19,49,-2,37,-15,-15,17,-63,-4,24,8,26,-23,19,6,-36,24,-6,-7,-6,-23,38,5,-2,17,-27,-3,6,2,-9,-15,25,-6,8,23,-29,3,-7,-14,21,0,13,-26,-23,51,9,-12,-13,-12,2,-16,27,11,-16,22,-19,1,9,-30,20,-3,-5,12,-15,25,0,-3,9,-40,8
-2878,566,2974,-563,-535,-489,-1096,490,620,302,525,-238,-455,-255,-231,99,225,181,65,-42,-4,-50,-4,0,-98,-70,-76,26,179,148,84,-35,-154,-179,-101,56,107,114,90,-19,-58,-53,-27,-5,-27,-6,-11,12,70,54,53,-4,-82,-85,-95,0,90,75,89,15,-68,-55,-55,-9,25,18,13,-18,17,39,14,37,-21,-94,-63,-20,38,86,69,12,-23,-37,-70,-37,20,18,33,20,0,13,-4,9,11,-38,-53,-48,4,67,68,56
-340,-63,141,288,336,-403,-253,78,-127,271,168,-149,67,-102,-131,60,20,46,17,-6,-7,4,41,-62,-18,21,-53,27,22,22,58,-26,-27,-48,-51,35,44,36,-6,-21,0,-22,13,8,-12,2,-25,4,21,23,28,-32,-22,-19,-28,38,27,7,4,-26,-4,4,3,-3,-7,9,-11,6,12,-15,23,11,-31,-17,9,12,-17,13,22,-15,8,-7,-11,7,-23,10,21,-3,2,-16,2,13,5,0,-34,-3,12,5,25,-13
712,-152,211,-25,-1774,553,1093,-406,582,-187,-745,235,-183,105,388,-114,42,-76,-96,51,-41,51,-75,-44,69,7,151,36,-80,-75,-167,13,73,67,139,-9,-51,-73,-77,30,0,39,43,-29,3,-13,40,41,-54,-34,-61,-22,62,50,66,2,-45,-38,-67,1,28,25,51,-4,-18,-18,-12,28,-4,-9,-20,-40,25,34,29,36,-18,-39,-48,-32,23,40,40,7,-18,-9,-24,-4,19,0,-12,-21,-4,23,38,38,-21,-49,-19,-20
189,-112,58,297,-386,-381,73,329,263,-149,-24,-53,-253,126,75,-50,133,-43,-33,49,-52,-8,-27,-5,11,-9,80,16,-7,-13,-105,5,36,10,67,-26,-25,18,-30,0,-3,10,23,-41,-1,40,12,-10,-16,6,-28,-24,40,18,3,13,-12,-27,-20,18,14,0,15,-15,-11,13,-3,7,3,-13,-12,-8,25,18,-14,-3,2,-1,-11,-6,10,0,9,10,-14,-9,-2,7,12,-6,-8,-4,5,8,-3,5,-1,-7,4,-12
1518,-25,-1994,56,1095,-19,372,-101,-883,192,83,-105,487,-78,-136,107,-178,26,39,-67,0,-30,90,54,37,25,-132,-39,-47,-20,137,30,26,-3,-101,-4,-2,23,45,-35,-10,-15,4,56,15,-6,-39,-46,-16,15,65,30,-15,-21,-29,-12,0,26,11,-10,13,-21,-5,22,-8,12,-7,-18,3,-16,22,22,-5,13,-25,-28,5,7,23,13,-8,-18,-12,3,5,22,3,-17,-7,-17,12,25,-2,-1,-14,-8,4,-1,13,8
244,163,-231,-427,-59,396,278,-27,-161,-235,-103,123,118,28,60,1,-100,4,6,-72,17,3,-3,90,39,-18,-32,-56,-44,-1,55,26,17,27,-37,-13,-15,-32,39,-1,-5,20,-18,23,4,-11,10,-35,0,-8,-12,62,12,-5,-4,-54,-8,20,25,18,-17,-9,-16,10,24,-12,6,-15,-17,20,-2,10,7,-7,-6,-17,17,1,-5,21,-21,-3,4,-13,30,0,-14,2,-13,10,5,-6,-6,0,29,-11,-11,1,-20,32
